Date,Open,High,Low,Close,Adj Close,Volume,New_Open,Difference,ave_5D,grad_5D,ave_20D,grad_20D
7/2/20,80.592499,80.849998,79.5,80.0075,78.80722,117684000,78.544998,-2.047501,80.3119996,0.4145006,79.77112465,0.0087498
10/2/20,78.544998,80.387497,78.462502,80.387497,79.181511,109348800,80.900002,2.355004,80.2095002,-0.1024994,79.48374975,-0.2873749
11/2/20,80.900002,80.974998,79.677498,79.902496,78.703796,94323200,80.3675,-0.532502,80.2905,0.0809998,79.36987495,-0.1138748
12/2/20,80.3675,81.805,80.3675,81.800003,80.572838,113730400,81.047501,0.680001,80.4089998,0.1184998,79.04399985,-0.3258751
13/2/20,81.047501,81.555,80.837502,81.217499,79.999054,94747600,81.184998,0.137497,80.4679994,0.0589996,78.5021248,-0.54187505
14/2/20,81.184998,81.495003,80.712502,81.237503,80.018768,80113600,78.839996,-2.345002,80.287999,-0.1800004,77.7111248,-0.791
18/2/20,78.839996,79.9375,78.652496,79.75,78.553581,152531200,80,1.160004,80.3459992,0.0580002,77.2279999,-0.4831249
19/2/20,80,81.142502,80,80.904999,79.691261,93984000,80.657501,0.657501,80.0674988,-0.2785004,77.2201252,-0.0078747
20/2/20,80.657501,81.162498,79.552498,80.074997,78.873711,100566000,79.654999,-1.002502,78.6934996,-1.3739992,76.9842503,-0.2358749
21/2/20,79.654999,80.112503,77.625,78.262497,77.088394,129554000,74.315002,-5.339997,77.973001,-0.7204986,76.6342503,-0.35
24/2/20,74.315002,76.044998,72.307503,74.544998,73.426674,222195200,75.237503,0.922501,76.299501,-1.6735,76.1271252,-0.5071251
25/2/20,75.237503,75.6325,71.532501,72.019997,70.939552,230673600,71.6325,-3.605003,74.2230012,-2.0764998,75.39437525,-0.73274995
26/2/20,71.6325,74.470001,71.625,73.162498,72.064911,198054800,70.275002,-1.357498,71.1550018,-3.0679994,74.93137555,-0.4629997
27/2/20,70.275002,71.5,68.239998,68.379997,67.354156,320605600,64.315002,-5.96,70.4060014,-0.7490004,74.35375065,-0.5776249
28/2/20,64.315002,69.602501,64.092499,68.339996,67.314743,426510000,70.57,6.254998,70.5420014,0.136,73.5346257,-0.81912495
2/3/20,70.57,75.360001,69.43,74.702499,73.581787,341397200,75.917503,5.347503,71.0375016,0.4955002,72.79337585,-0.74124985
3/3/20,75.917503,76,71.449997,72.330002,71.244904,319475600,74.110001,-1.807502,71.7585006,0.720999,71.7585009,-1.03487495
4/3/20,74.110001,75.849998,73.282501,75.684998,74.549561,219178400,73.879997,-0.230004,72.9955002,1.2369996,70.91037605,-0.84812485
5/3/20,73.879997,74.887497,72.852501,73.230003,72.131401,187572800,70.5,-3.379997,72.0690002,-0.9265,69.9075011,-1.00287495
6/3/20,70.5,72.705002,70.307503,72.2575,71.173485,226176800,65.9375,-4.5625,70.7425004,-1.3264998,68.96700105,-0.94050005
9/3/20,65.9375,69.522499,65.75,66.542503,65.544228,286744800,69.285004,3.347504,69.790001,-0.9524994,68.074001,-0.89300005
10/3/20,69.285004,71.610001,67.342499,71.334999,70.264839,285290000,69.347504,0.0625,67.8110018,-1.9789992,67.2092509,-0.8647501
11/3/20,69.347504,70.305,67.964996,68.857498,67.824493,255598800,63.985001,-5.362503,66.9555026,-0.8554992,66.40187575,-0.80737515
12/3/20,63.985001,67.5,62,62.057499,61.126507,418474000,66.222504,2.237503,65.8655024,-1.0900002,65.95462575,-0.44725
13/3/20,66.222504,69.980003,63.237499,69.4925,68.449974,370732000,60.487499,-5.735005,64.3840014,-1.481501,65.5223757,-0.43225005
16/3/20,60.487499,64.769997,60,60.552502,59.644085,322423600,61.877499,1.39,62.5030008,-1.8810006,65.4660006,-0.0563751
17/3/20,61.877499,64.402496,59.599998,63.215,62.266647,324056000,59.942501,-1.934998,62.0755006,-0.4275002,65.07175065,-0.39424995
18/3/20,59.942501,62.5,59.279999,61.6675,60.742352,300233600,61.8475,1.904999,61.1899994,-0.8855012,64.4708756,-0.60087505
19/3/20,61.8475,63.209999,60.6525,61.195,60.276951,271857200,61.794998,-0.052502,60.4964996,-0.6934998,63.84662555,-0.62425005
20/3/20,61.794998,62.9575,57,57.310001,56.450233,401693200,57.02,-4.774998,59.9389998,-0.5574998,63.15687565,-0.6897499
23/3/20,57.02,57.125,53.1525,56.092499,55.250992,336752800,59.09,2.07,60.4879996,0.5489998,62.6668757,-0.48999995
24/3/20,59.09,61.922501,58.575001,61.720001,60.794071,287531200,62.6875,3.5975,60.4444998,-0.0434998,62.5062506,-0.1606251
25/3/20,62.6875,64.5625,61.075001,61.380001,60.459171,303602000,61.630001,-1.057499,60.7230002,0.2785004,62.42700025,-0.07925035
26/3/20,61.630001,64.669998,61.59,64.610001,63.640709,252087200,63.1875,1.557499,61.8560004,1.1330002,62.24387495,-0.1831253
27/3/20,63.1875,63.967499,61.762501,61.935001,61.005852,204216800,62.685001,-0.502499,62.8180008,0.9620004,62.40337505,0.1595001
30/3/20,62.685001,63.880001,62.349998,63.702499,62.74683,167976400,63.900002,1.215001,62.6055008,-0.2125,62.4461248,0.04274975
31/3/20,63.900002,65.622498,63,63.572498,62.618782,197002000,61.625,-2.275002,62.2965004,-0.3090004,62.92174985,0.47562505
1/4/20,61.625,62.18,59.782501,60.227501,59.323959,176218400,60.084999,-1.540001,61.7990006,-0.4974998,63.3578748,0.43612495
2/4/20,60.084999,61.287498,59.224998,61.232498,60.313881,165934000,60.700001,0.615002,61.807,0.0079994,63.9529998,0.595125
3/4/20,60.700001,61.424999,59.7425,60.352501,59.447094,129880000,62.724998,2.024997,62.566999,0.759999,64.41924985,0.46625005
6/4/20,62.724998,65.777496,62.345001,65.6175,64.633087,201820400,67.699997,4.974999,63.3789986,0.8119996,64.8038751,0.38462525
7/4/20,67.699997,67.925003,64.75,64.857498,63.884495,202887200,65.684998,-2.014999,64.7969994,1.4180008,65.4063751,0.6025
8/4/20,65.684998,66.842499,65.307503,66.517502,65.5196,168895200,67.175003,1.490005,66.072499,1.2754996,65.8719999,0.4656248
9/4/20,67.175003,67.517502,66.175003,66.997498,65.992386,161834800,67.077499,-0.097504,67.5274994,1.4550004,66.18599985,0.31399995
13/4/20,67.077499,68.425003,66.457497,68.3125,67.287666,131022800,70,2.922501,68.1074996,0.5800002,66.56949995,0.3835001
14/4/20,70,72.0625,69.512497,71.762497,70.685905,194994800,70.599998,0.599998,69.3395002,1.2320006,66.9326248,0.36312485
